"","CruiseID","massive","arborescent","flabellate","caliculate","stipulate","papillate"
"1","IGFS2014",1,0,0,0,0,0
"2","IGFS2015",1,0,1,0,0,0
"3","IGFS2016",0,0,1,0,0,0
"4","0416S",1,1,1,1,0,0
"5","1316S",1,1,0,0,1,1
"6","1218S",1,1,1,0,1,1
"7","1318S",1,1,1,1,0,0
"8","BESS-GS-2006",1,0,0,0,1,1
"9","BESS-GS-2007",1,0,0,0,1,1
"10","BESS-GS-2008",1,0,0,0,0,1
"11","BESS-JH-2009",1,0,0,0,1,1
"12","BESS-JM-2009",1,0,0,0,1,1
"13","BESS-GS-2010",1,0,0,0,1,1
"14","BESS-JH-2010",1,0,0,0,0,1
"15","BESS-JM-2010",1,0,0,0,0,1
"16","BESS-CE-2011",1,0,0,0,1,1
"17","BESS-HH-2011",1,0,0,0,1,1
"18","BESS-JH-2011",1,0,0,0,0,1
"19","BESS-GS-2012",1,0,0,0,1,1
"20","BESS-HH-2013",1,0,0,0,0,1
"21","BESS-JH-2013",1,0,0,0,1,1
"22","BESS-HH-2014",1,0,0,0,0,1
"23","BESS-GS-2015",1,0,0,0,1,1
"24","BESS-HH-2015",1,0,0,0,0,1
"25","BESS-JH-2015",1,0,0,0,1,1
"26","BESS-HH-2016",1,0,0,0,0,1
"27","BESS-JH-2016",1,0,0,0,0,1
"28","BESS-GS-2017",1,0,0,0,0,1
"29","BESS-JH-2017",1,0,0,0,1,1
"30","BESS-HH-2012",1,0,0,0,1,1
"31","BESS-JH-2012",1,0,0,0,1,1
"32","BESS-GS-2013",1,0,0,0,1,1
"33","B6-2004",1,1,0,0,1,0
"34","1419S",1,0,1,0,0,1
"35","IGFS2019",1,0,1,1,0,0
"36","BESS-JH-2019",1,0,1,0,0,1
"37","BESS-HH-2019",1,0,1,0,0,1
"38","BESS-GS-2019",1,0,0,0,0,1
"39","Dem2005",0,0,1,0,0,0
"40","Dem2006",1,0,1,0,0,0
"41","Dem2007",1,0,1,0,0,0
"42","Dem2008",1,0,1,0,0,0
"43","Dem2009",1,0,1,0,0,0
"44","Dem2010",1,0,1,0,0,0
"45","Dem2011",1,0,1,0,0,0
"46","Dem2012",1,0,1,0,0,0
"47","Dem2013",1,0,1,0,1,0
"48","Dem2014",1,0,1,0,0,0
"49","Dem2015",1,0,1,0,1,0
"50","Dem2016",1,0,1,0,1,0
"51","Dem2017",1,0,1,0,0,0
"52","Dem2018",1,0,1,0,0,0
"53","Dem2019",1,0,1,0,0,0
"54","BG0",1,0,0,0,1,0
"55","BG1",1,1,0,0,1,1
"56","EG9",1,0,0,0,1,0
"57","UBYH16",0,0,1,0,0,1
"58","UBSE04",0,0,0,0,0,1
"59","UBBF06",1,0,0,0,0,0
"60","UAJE14",1,0,0,0,0,1
"61","UBYH17",1,0,1,0,0,1
"62","UBYH5_19",0,0,0,0,0,1
"63","UBYH5_20",0,0,1,0,0,0
"64","IGFS2020",0,0,0,1,0,0
"65","2021JH",1,0,0,0,0,1
"66","2021HH",1,0,0,0,0,1
"67","2021GOS",1,0,1,1,0,1
"68","BESS-GS-2023",1,0,1,0,0,1
"69","BESS-JH-2023",1,0,1,1,0,1
"70","BESS-KPH-2023",1,0,1,0,0,1
"71","BESS-GS-2022",1,0,1,1,0,1
"72","BESS-JH-2022",1,0,1,0,0,1
